#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
KentmanFeb2008_4,199,52364,20,6392
KentmanJan2011_1,196,24424,9,6096
KentmanJan2011_2,152,25588,10,6048
KentmanJan2011_3,140,31020,22,6104
KentmanJan2011_4,227,55708,18,6328
KentmanJul2005_1,140,25412,11,5900
KentmanJul2005_2,217,25308,9,6096
KentmanJul2005_3,122,41148,13,6428
KentmanJul2005_4,228,55948,20,6412
LambdaNet_1,194,28656,11,6096
LambdaNet_2,158,49660,14,6360
LambdaNet_3,736,56952,15,6500
LambdaNet_4,754,70896,248,7968
Latnet_1,138,26248,10,6164
Latnet_2,539,29612,9,6096
Latnet_3,665,48684,12,6428
Latnet_4,709,57000,32,6716
Layer42_1,619,23720,78,6096
Layer42_2,632,25788,9,6164
Layer42_3,596,27300,9,6092
Layer42_4,554,32096,74,6360
Litnet_1,531,23760,66,6096
Litnet_2,141,26072,53,6096
Litnet_3,660,31788,36,6096
Litnet_4,207,43788,36,6356
Marnet_1,734,25044,41,6096
Marnet_2,719,24580,12,6096
Marnet_3,605,25560,1055,6164
Marnet_4,708,55268,1010,6428
Marwan_1,649,24376,988,6164
Marwan_2,692,26116,62,6096
Marwan_3,666,34044,21,6428
Marwan_4,683,56084,59,6424
Missouri_1,231,30552,11,6096
Missouri_2,203,47088,16,6428
Missouri_3,359,56348,63,6528
Missouri_4,351,60408,36,6568
Myren_1,181,23752,10,6096
Myren_2,234,25732,12,6164
Myren_3,154,30084,13,6164
Myren_4,137,36700,17,6360
Napnet_1,135,23804,20,6096
Napnet_2,104,24240,12,5900
Napnet_3,61,27488,26,6164
Napnet_4,64,30008,42,6052
Navigata_1,52,24628,12,5900
Navigata_2,69,25624,12,6096
Navigata_3,91,29504,11,6096
Navigata_4,128,38292,20,6428
Netrail_1,99,23912,9,5900
Netrail_2,77,24852,25,6096
Netrail_3,75,26748,14,6096
Netrail_4,92,36356,17,6360
NetworkUsa_1,68,27280,8,6096
NetworkUsa_2,101,34992,15,6428
NetworkUsa_3,127,55640,23,6416
NetworkUsa_4,337,57092,33,6396
Nextgen_1,103,27240,11,5984
Nextgen_2,72,30204,14,6164
Nextgen_3,257,55948,24,6444
Nextgen_4,193,56852,91,6848
Niif_1,121,24708,11,6096
Niif_2,140,31684,12,6164
Niif_3,129,54368,13,6360
Niif_4,148,56232,31,6596
Noel_1,57,24592,10,6096
Noel_2,74,26272,8,6092
Noel_3,84,49988,16,6360
Noel_4,122,55772,28,6576
Nordu2005_1,58,24132,10,5900
Nordu2005_2,65,24412,11,6164
Nordu2005_3,111,29188,11,6164
Nordu2005_4,179,32496,15,6428
Nordu2010_1,92,24008,10,5900
Nordu2010_2,81,24412,8,6096
Nordu2010_3,98,26576,13,6096
Nordu2010_4,114,42924,15,6360
Nsfcnet_1,91,23948,8,5896
Nsfcnet_2,235,25492,10,6052
Nsfcnet_3,229,25700,10,6092
Nsfcnet_4,332,38704,16,6360
Nsfnet_1,190,24940,9,5900
Nsfnet_2,241,31664,13,6164
Nsfnet_3,178,28956,10,6096
Nsfnet_4,219,55484,13,6428
Ntelos_1,203,37088,15,6164
Ntelos_2,183,55276,28,6424
Ntelos_3,525,58964,32,6476
Ntelos_4,660,68892,143,7060
Ntt_1,179,24264,42,5900
Ntt_2,140,28408,18,6096
Ntt_3,344,55164,22,6428
Ntt_4,414,56036,44,6576
Oteglobe_1,398,39036,13,6104
Oteglobe_2,281,47492,12,6360
Oteglobe_3,450,56688,52,6532
Oteglobe_4,1110,69024,68,6800
Oxford_1,273,24840,11,5900
Oxford_2,142,31976,11,6036
Oxford_3,203,48800,18,6308
Oxford_4,550,56392,42,6508
Pacificwave_1,359,23796,20,6096
Pacificwave_2,587,25332,64,5980
Pacificwave_3,476,29592,13,6100
Pacificwave_4,502,33316,16,6428
Packetexchange_1,437,25432,9,6164
Packetexchange_2,499,29024,15,6104
Packetexchange_3,544,55636,15,6376
