#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Globalcenter_3,89,52308,73,6416
Globalcenter_4,352,59816,97,6776
Globenet_1,220,55352,75,6428
Globenet_2,262,56116,62,6684
Globenet_3,1739,70952,53,7144
Globenet_4,7864,78032,695,9544
Goodnet_1,406,55284,9,6360
Goodnet_2,296,55924,12,6576
Goodnet_3,778,70880,22,6528
Goodnet_4,2050,72180,212,8460
Grena_1,64,26784,7,6164
Grena_2,195,37308,13,6428
Grena_3,221,55784,279,6364
Grena_4,379,59648,522,7008
Gridnet_1,187,25888,170,6164
Gridnet_2,238,34804,70,6040
Gridnet_3,98,52796,52,6436
Gridnet_4,399,60056,59,6396
Grnet_1,212,56620,50,6232
Grnet_3,2753,74108,367,8316
Grnet_4,29175,109468,1730,12756
GtsCe_1,138,40088,40,6360
GtsCe_2,169,56044,299,6468
GtsCe_3,386,62664,408,6860
GtsCe_4,1050,71084,221,7248
GtsCzechRepublic_1,160,57276,67,6360
GtsCzechRepublic_2,298,56056,363,6524
GtsCzechRepublic_3,1505,71004,436,8052
GtsCzechRepublic_4,1648,75016,1567,12644
GtsHungary_1,213,43712,67,6360
GtsHungary_2,309,56304,75,6516
GtsHungary_3,376,60324,75,6632
GtsHungary_4,2141,71272,141,7608
GtsPoland_1,92,40388,54,6116
GtsPoland_2,202,56168,54,6408
GtsPoland_3,609,62256,42,6452
GtsPoland_4,1389,71264,126,7708
GtsRomania_1,869,56764,18,6616
GtsRomania_2,889,68940,51,7116
GtsRomania_3,5089,74040,202,8692
GtsRomania_4,21363,101092,1692,13152
GtsSlovakia_1,3600000,120000000,12,6272
GtsSlovakia_2,822,59544,51,6648
GtsSlovakia_3,1053,68948,242,7804
GtsSlovakia_4,2651,72064,236,8308
Harnet_1,818,55792,22,6300
Harnet_2,830,56656,20,6472
Harnet_4,3594,73924,385,8464
Heanet_1,120,27312,13,6096
Heanet_2,473,29748,37,6164
Heanet_3,336,55964,29,6484
Heanet_4,649,66812,124,6944
HiberniaCanada_1,57,27948,27,6164
HiberniaCanada_2,672,36628,29,6104
HiberniaCanada_3,530,55660,24,6396
HiberniaCanada_4,662,62104,59,6668
HiberniaGlobal_1,622,56720,311,6660
HiberniaGlobal_2,680,69136,262,6792
HiberniaGlobal_3,3644,75132,420,8540
HiberniaGlobal_4,38985,117464,3201,18880
HiberniaIreland_1,420,25936,132,6096
HiberniaIreland_2,502,31376,152,6104
HiberniaIreland_3,583,45156,47,6400
HiberniaIreland_4,499,56288,62,6600
HiberniaNireland_1,434,34276,100,6036
HiberniaNireland_2,491,28872,35,6156
HiberniaNireland_3,581,56244,50,6500
HiberniaNireland_4,572,66796,53,6592
HiberniaUk_1,69,25460,21,6096
HiberniaUk_2,106,28464,133,6096
HiberniaUk_3,159,43456,125,6428
HiberniaUk_4,562,56596,106,6592
HiberniaUs_1,552,55556,37,6428
HiberniaUs_2,1109,56080,112,6404
HiberniaUs_3,2372,69200,147,7232
HiberniaUs_4,8146,80440,498,8268
Highwinds_1,1053,34800,24,6096
Highwinds_2,1087,40860,168,6360
Highwinds_3,1010,56068,129,6664
Highwinds_4,1470,68888,432,8212
HostwayInternational_1,1033,32032,29,6096
HostwayInternational_2,974,51496,12,6360
HostwayInternational_3,959,55716,19,6396
HostwayInternational_4,938,62508,115,6944
HurricaneElectric_1,327,55448,254,6428
HurricaneElectric_2,526,56676,277,6396
HurricaneElectric_3,636,69224,348,7460
HurricaneElectric_4,1615,72168,777,9708
Ibm_1,465,55528,256,6428
Ibm_2,453,56344,239,6472
Ibm_3,448,62444,196,6676
Ibm_4,2659,72204,409,8012
Iij_1,159,29780,171,6164
Iij_2,213,55520,162,6316
Iij_3,374,59632,186,6368
Iij_4,1103,71252,270,7412
Iinet_1,157,39460,160,6428
Iinet_2,571,66700,184,6528
Iinet_3,1482,71104,334,7508
Iinet_4,2136,71260,674,8572
Ilan_1,1628,55376,154,6360
Ilan_2,1571,56832,77,7000
Ilan_3,848,69092,42,6772
Ilan_4,4087,74244,275,8876
Integra_1,1451,56792,15,6636
Integra_2,2056,69112,111,7156
Integra_3,3890,78176,192,8824
Integra_4,13630,93200,3023,16392
Intellifiber_1,1087,47676,224,6052
Intellifiber_2,1849,55816,56,6336
Intellifiber_3,503,59984,76,6880
Intellifiber_4,686,70944,195,7356
Internetmci_1,212,55384,21,6360
Internetmci_2,311,56276,77,6568
Internetmci_3,689,66712,201,6288
Internetmci_4,2823,73172,427,7216
Internode_1,673,50392,329,6112
Internode_2,676,57096,237,6704
Internode_3,2006,68996,329,7224
Internode_4,2534,71156,437,7804
Interoute_1,3600000,120000000,205,6452
Interoute_2,1719,56100,201,6404
Interoute_3,1722,68892,422,7196
Interoute_4,3740,74120,552,8572
Intranetwork_1,3600000,120000000,210,6452
Intranetwork_2,1722,56332,181,6504
Intranetwork_3,1510,69004,218,7080
Intranetwork_4,2150,68912,296,7364
Ion_1,1556,55688,185,6356
Ion_2,1542,56368,210,6576
Ion_3,900,60652,214,6448
Ion_4,1544,71260,266,7560
IowaStatewideFiberMap_1,767,55580,177,6360
IowaStatewideFiberMap_2,539,59556,200,6492
IowaStatewideFiberMap_3,2353,69140,86,6980
IowaStatewideFiberMap_4,4889,74136,611,8692
Iris_1,1274,55356,17,6360
Iris_2,1278,55644,21,6360
Iris_3,1237,62880,803,7428
Iris_4,1226,71092,604,7428
Istar_1,980,28580,432,6096
Istar_2,1952,42420,505,6036
Istar_3,1937,55804,413,6504
Istar_4,1901,61216,416,6440
Itnet_1,1904,29924,433,6164
Itnet_2,2227,31844,486,6096
Itnet_3,2215,55024,480,6256
Itnet_4,2192,56136,521,6652
Janetbackbone_1,1130,55292,12,6428
Janetbackbone_2,1060,56236,18,6528
Janetbackbone_3,1090,69012,96,7068
Janetbackbone_4,2680,72104,445,8540
JanetExternal_1,140,44076,400,6428
JanetExternal_2,435,56196,381,6416
JanetExternal_3,425,61092,414,6564
JanetExternal_4,1960,71168,481,7644
Janetlense_1,1050,27548,14,6096
Janetlense_2,1017,55408,18,6344
Janetlense_3,992,56060,26,6584
Janetlense_4,1264,70868,129,7196
Jgn2Plus_1,847,40904,14,6052
Jgn2Plus_2,576,55560,20,6404
Jgn2Plus_3,1041,62232,77,6756
Jgn2Plus_4,1349,71108,55,7004
Karen_1,521,31164,9,6096
Karen_2,542,55732,18,6328
Karen_3,632,59604,65,6756
Karen_4,551,69108,100,7196
Kdl_1,141,56052,19,6540
Kdl_2,362,61248,23,6524
Kdl_3,821,69032,35,6924
Kdl_4,19361,98948,1185,12504
KentmanApr2007_1,128,26392,8,6096
KentmanApr2007_2,181,28964,11,6164
KentmanApr2007_3,374,50404,18,6308
KentmanApr2007_4,404,56448,547,6592
KentmanAug2005_1,506,33004,537,6036
KentmanAug2005_2,380,55276,529,6324
KentmanAug2005_3,503,55984,537,6720
KentmanAug2005_4,523,61372,525,7120
KentmanFeb2008_1,460,31736,449,6160
KentmanFeb2008_2,464,37972,406,6360
KentmanFeb2008_3,438,56060,413,6664
KentmanFeb2008_4,946,68908,431,6528
KentmanJan2011_1,68,29852,385,6096
KentmanJan2011_2,80,38872,391,6104
KentmanJan2011_3,177,55916,385,6504
KentmanJan2011_4,484,62300,425,6736
KentmanJul2005_1,126,55192,13,6120
KentmanJul2005_2,146,55864,18,6436
KentmanJul2005_3,488,61412,65,6800
KentmanJul2005_4,2461,72028,553,8996
Kreonet_1,180,55436,13,6360
Kreonet_2,440,64732,27,6292
Kreonet_3,1516,68972,157,7460
Kreonet_4,4039,74248,841,9424
LambdaNet_1,264,27620,10,6164
LambdaNet_2,308,43708,15,6428
LambdaNet_3,309,55968,44,6740
LambdaNet_4,440,62276,165,7176
Latnet_1,1025,64316,19,6228
Latnet_2,1820,68988,89,7268
Latnet_3,4724,80212,459,8756
Latnet_4,24105,107468,4911,22512
Layer42_1,214,55476,10,6428
Layer42_2,233,56424,18,6496
Layer42_3,481,62052,43,6552
Layer42_4,2304,74116,240,8320
Litnet_1,209,55276,18,6428
Litnet_2,333,56824,25,6480
Litnet_3,304,56468,32,6648
Litnet_4,4479,73968,195,8100
Marnet_1,858,56248,18,6644
Marnet_2,2443,67584,72,7048
Marnet_3,4066,76316,165,9040
Marnet_4,29232,117468,1718,12968
Marwan_1,1030,55368,15,6428
Marwan_2,1419,56404,25,6644
Marwan_3,860,61708,66,6820
Marwan_4,3246,75116,486,8632
Missouri_1,822,56876,29,6696
Missouri_2,2014,68892,36,7000
Missouri_3,5207,76144,82,8288
Missouri_4,14417,90984,1061,11296
Mren_1,1054,26300,38,6096
Mren_2,1384,30580,13,6164
Mren_3,1378,55620,14,6392
Mren_4,244,55844,19,6448
Myren_1,458,56492,11,6496
Myren_2,891,68936,40,6772
Myren_3,3338,74160,125,8276
Myren_4,18270,99232,1055,11036
Napnet_1,834,36612,12,6048
Napnet_2,858,57784,19,6336
Napnet_3,848,61432,68,6816
Napnet_4,1289,69160,385,8100
Navigata_1,738,37832,15,6360
Navigata_2,736,56340,31,6632
Navigata_3,1111,61432,55,6732
Navigata_4,1244,71316,98,7644
Netrail_1,129,55292,13,6360
Netrail_2,179,56176,24,6684
Netrail_3,572,68860,50,6880
Netrail_4,1542,71356,181,7904
NetworkUsa_1,675,25708,10,6164
NetworkUsa_2,86,34340,47,6096
NetworkUsa_3,170,56012,20,6520
NetworkUsa_4,563,70868,104,7096
Nextgen_1,677,46456,13,6052
Nextgen_2,782,56724,32,6448
Nextgen_3,1152,68904,45,6968
